,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
75,0,0,1,1,0.985915493,1,1,1,1,0,1,0,0,1,0.48251746,0.546724484,0,1,0,0,0,1,0,0,1,0,0
76,1,1,1,0,0.338028169,1,0,0,1,1,0,1,1,1,0.798701287,0.288472764,1,0,1,0,1,0,0,0,0,1,0
77,0,0,0,0,0.521126761,1,1,0,0,1,1,1,0,0,0.763736252,0.414593278,0,0,1,0,0,1,0,1,0,0,0
78,0,0,1,0,0.943661972,1,1,0,1,1,1,1,1,1,0.9135864,0.877676648,1,0,1,0,0,0,1,1,0,0,0
79,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0.855144857,0.84198235,0,0,1,0,0,1,0,0,0,1,0
80,0,0,0,0,0.591549296,1,1,0,0,0,0,1,1,0,0.757242731,0.451085109,0,0,1,0,0,1,0,0,0,0,1
81,0,0,1,0,0.76056338,1,1,1,1,0,0,1,0,1,0.78121877,0.603386782,1,0,1,0,1,0,0,0,0,1,0
82,1,0,0,0,0.718309859,1,0,1,0,1,1,0,0,0,0.393606395,0.349475509,0,1,0,0,0,1,0,0,1,0,0
83,1,0,0,0,0.591549296,1,0,0,1,1,0,1,0,1,0.730269735,0.454876474,0,0,1,0,1,0,0,0,0,1,0
84,1,1,1,0,0.507042254,1,1,0,0,0,0,0,0,1,0.57892107,0.329351238,1,0,1,0,1,0,0,0,0,1,0
85,0,0,1,1,0.028169014,1,0,1,1,0,0,1,0,0,0.712287686,0.026533737,0,0,1,0,1,0,0,0,0,1,0
86,1,0,1,1,0.126760563,1,1,1,0,0,0,1,1,1,0.816183804,0.120884268,1,0,1,0,1,0,0,0,0,1,0
87,0,0,1,1,0.366197183,1,1,0,1,0,1,0,0,1,0.665834125,0.24652508,0,0,1,0,1,0,0,0,1,0,0
88,1,0,1,1,0.774647887,1,1,0,0,1,0,1,1,1,0.81168833,0.635353295,0,0,1,0,0,1,0,0,1,0,0
89,0,0,0,0,0.028169014,1,1,0,0,0,0,0,0,1,0.557942065,0.024354862,1,0,1,0,1,0,0,0,0,1,0
90,1,0,1,1,0.084507042,1,0,1,0,0,0,0,0,0,0.321178824,0.038318163,0,1,0,0,1,0,0,0,0,0,1
91,0,0,0,0,0.450704225,1,0,1,0,0,1,1,0,1,0.703296662,0.347787881,0,0,1,0,0,0,1,0,0,1,0
92,1,1,0,0,0.366197183,1,1,0,0,1,0,0,0,1,0.594405616,0.244664066,1,0,1,0,1,0,0,0,0,1,0
93,1,0,0,0,0.169014085,1,1,0,0,0,0,0,1,1,0.673326633,0.138338393,0,0,1,0,1,0,0,0,0,1,0
94,0,0,0,0,0.929577465,1,0,0,0,0,1,0,0,0,0.319680307,0.374656853,0,1,0,0,0,0,1,1,0,0,0
95,0,0,0,0,0.014084507,1,0,0,0,0,0,0,0,0,0.257742239,0.007212831,1,1,0,0,1,0,0,0,0,1,0
96,1,0,0,0,0.309859155,1,0,1,0,0,0,0,0,1,0.563936055,0.203398353,0,0,1,0,1,0,0,1,0,0,0
97,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.51848148,0.005964456,1,0,1,0,1,0,0,0,0,0,1
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.694305714,0.740563491,0,1,0,0,0,0,1,0,1,0,0
99,1,0,0,0,0.098591549,1,1,1,0,0,1,0,1,0,0.525474533,0.062973562,1,1,0,0,1,0,0,0,0,1,0
100,1,0,1,0,0.845070423,1,1,0,1,0,0,1,1,1,0.824175843,0.688039301,0,0,1,0,0,0,1,1,0,0,0
101,0,0,0,0,0.887323944,1,1,1,1,0,0,0,0,1,0.656843177,0.609183621,0,0,1,0,0,1,0,0,1,0,0
102,1,0,1,1,0.901408451,1,1,1,1,0,1,1,0,1,0.804195823,0.739528992,0,0,1,0,0,0,1,0,1,0,0
103,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.270729282,0.003097818,1,1,0,0,1,0,0,0,0,1,0
104,0,0,0,1,0.408450704,1,0,0,1,1,0,1,0,0,0.459040952,0.220904488,0,1,0,0,0,1,0,0,1,0,0
105,0,0,1,1,0.197183099,1,0,0,1,1,1,0,1,1,0.508991001,0.121664502,0,1,0,0,1,0,0,0,0,0,1
106,1,0,1,1,0.098591549,1,0,0,0,0,1,1,1,1,0.499500522,0.063054469,0,1,0,0,1,0,0,0,0,1,0
107,0,0,0,0,0.084507042,1,1,0,0,0,0,1,1,0,0.763736252,0.073590522,1,0,1,0,1,0,0,0,0,0,1
108,1,0,1,1,0.971830986,1,1,1,1,1,0,1,1,1,0.895104897,0.914515221,0,0,1,0,0,1,0,0,1,0,0
109,0,0,1,1,0.85915493,1,0,1,1,1,1,1,1,0,0.674825149,0.600653085,0,1,0,0,0,0,1,0,0,1,0
110,1,0,1,1,0.183098592,1,0,0,0,0,0,0,1,1,0.622877129,0.13107355,0,0,1,0,1,0,0,1,0,0,0
111,1,0,0,0,0.295774648,1,1,0,0,0,0,1,0,1,0.655344661,0.208420743,0,0,1,0,1,0,0,1,0,0,0
112,0,0,1,1,0.211267606,1,0,1,0,1,0,1,0,0,0.45654345,0.116185522,0,1,0,0,0,0,1,0,0,0,1
113,1,0,0,1,0.169014085,1,0,1,1,0,0,0,0,1,0.374125869,0.086195635,0,1,0,0,1,0,0,0,0,1,0
114,1,0,1,0,0.267605634,1,1,1,0,0,0,0,0,0,0.637862144,0.181881228,1,0,1,0,1,0,0,0,0,1,0
115,1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.510988973,0.013448923,0,0,1,0,1,0,0,0,0,1,0
116,0,0,0,0,0.732394366,1,1,0,1,1,1,0,1,1,0.55294706,0.455356162,0,1,0,0,0,0,1,1,0,0,0
117,1,0,0,0,0.042253521,1,0,0,0,0,0,0,0,1,0.52297703,0.029377258,1,0,1,0,1,0,0,1,0,0,0
118,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.704295724,0.720774477,0,1,0,0,0,0,1,1,0,0,0
119,0,0,1,0,0.591549296,1,0,1,0,1,1,0,0,1,0.656343647,0.406923855,0,0,1,0,0,1,0,1,0,0,0
120,1,0,1,0,0.014084507,1,1,0,0,1,1,1,1,1,0.85764236,0.025886433,1,0,1,0,1,0,0,0,0,1,0
121,0,0,1,0,0.183098592,1,0,0,1,1,1,1,1,0,0.633366593,0.134419882,0,1,0,0,0,0,1,0,0,0,1
122,1,0,1,0,0.732394366,1,0,0,0,1,0,1,1,1,0.762237736,0.575795428,1,0,1,0,0,1,0,1,0,0,0
123,1,1,0,0,0.197183099,1,1,0,0,0,0,0,0,1,0.55844152,0.130252848,1,0,1,0,1,0,0,0,0,0,1
124,1,1,0,0,0.084507042,1,0,1,0,0,0,0,0,0,0.578421539,0.056032366,1,0,1,0,1,0,0,1,0,0,0
125,1,0,1,1,0.197183099,1,1,0,1,1,0,1,1,1,0.867132839,0.178055194,0,0,1,0,1,0,0,1,0,0,0
126,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.267232756,0.003057362,0,1,0,0,1,0,0,0,0,0,1
127,0,0,0,0,0.098591549,1,1,0,0,0,0,0,1,0,0.658841149,0.074416995,1,0,1,0,1,0,0,1,0,0,0
128,0,0,1,1,0.450704225,1,0,1,0,1,0,1,1,0,0.561438553,0.281398647,0,1,0,0,0,1,0,0,1,0,0
129,1,0,0,0,0.169014085,1,0,0,1,1,0,0,0,1,0.606393597,0.126317009,1,0,1,0,1,0,0,0,0,1,0
130,0,0,0,0,0.267605634,1,0,0,1,0,0,0,0,1,0.33216782,0.116168181,0,1,0,0,1,0,0,0,0,0,1
131,1,0,1,0,0.549295775,1,1,0,1,0,0,0,0,0,0.380119859,0.272821858,0,1,0,0,1,0,0,0,1,0,0
132,0,0,1,1,0.591549296,1,1,1,0,0,1,0,1,1,0.53296704,0.3646294,0,1,0,0,0,1,0,0,1,0,0
133,0,0,1,0,0.070422535,1,0,0,1,1,0,0,1,1,0.723776213,0.059199538,1,0,1,0,1,0,0,0,0,1,0
134,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0.910589366,0.93748878,0,0,1,0,0,0,1,0,1,0,0
135,1,0,1,0,0.267605634,1,0,1,1,0,1,1,0,1,0.779220798,0.217633293,0,0,1,0,1,0,0,0,0,1,0
136,0,0,0,0,0.816901408,1,1,0,1,1,1,1,1,1,0.927072898,0.751440543,0,0,1,0,1,0,0,0,0,1,0
137,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.936063922,0.927357307,0,0,1,0,0,0,1,1,0,0,0
138,1,0,1,0,0.366197183,1,0,1,0,0,1,1,1,1,0.832667335,0.307735865,0,0,1,0,0,1,0,0,1,0,0
139,1,0,0,0,0.183098592,1,0,0,1,0,1,0,0,1,0.614385636,0.126392146,0,0,1,0,1,0,0,0,1,0,0
140,0,0,1,1,0.985915493,1,1,1,0,1,0,1,1,0,0.869130887,0.853824592,0,0,1,0,0,0,1,0,0,1,0
141,0,0,0,1,0.169014085,1,0,0,0,0,0,1,0,1,0.596903118,0.117335639,0,0,1,0,1,0,0,0,1,0,0
142,0,0,0,0,0.605633803,1,0,0,0,0,0,0,0,0,0.50249748,0.339846837,0,0,1,0,1,0,0,0,1,0,0
143,1,0,0,0,0.450704225,1,0,0,1,0,1,0,0,1,0.613386574,0.308163572,0,0,1,0,0,1,0,1,0,0,0
144,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.612887119,0.007056784,1,0,1,0,1,0,0,0,0,1,0
145,1,0,0,0,0.253521127,1,0,1,0,1,1,1,1,1,0.879620351,0.221424644,1,0,1,0,1,0,0,0,0,1,0
146,0,0,1,0,0.887323944,1,0,0,1,1,1,1,1,1,0.838161795,0.766970102,0,0,1,0,0,1,0,0,1,0,0
147,0,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.27422577,0.007588499,1,1,0,0,1,0,0,0,1,0,0
148,0,1,1,0,0.309859155,1,1,0,0,0,0,0,1,0,0.681818202,0.226210082,0,0,1,0,1,0,0,0,0,1,0
149,0,0,1,1,0.901408451,1,1,0,1,1,1,1,1,1,0.655844116,0.613281318,0,1,0,0,0,0,1,1,0,0,0
150,1,0,0,0,0.098591549,1,0,0,0,0,0,1,0,1,0.613886105,0.070018781,0,0,1,0,1,0,0,1,0,0,0
151,1,0,0,0,0.042253521,1,0,0,0,0,0,0,0,1,0.515484523,0.028839764,1,0,1,0,1,0,0,0,0,1,0
152,0,0,1,0,0.042253521,1,0,0,0,0,1,0,0,0,0.314685302,0.018552233,1,1,0,0,1,0,0,0,0,0,1
153,1,0,1,1,0.422535211,1,0,1,0,1,1,1,1,1,0.625374631,0.292084959,0,1,0,0,0,1,0,0,0,0,1
154,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.366133868,0.004201705,1,1,0,0,1,0,0,0,0,0,1
155,0,0,0,0,0.408450704,1,1,0,0,0,1,0,1,1,0.712787217,0.312590655,0,0,1,0,1,0,0,0,1,0,0
156,1,0,1,1,0.647887324,1,1,1,1,0,1,1,1,1,0.666833187,0.472579107,0,1,0,0,0,0,1,0,1,0,0
157,0,0,0,0,0.746478873,1,1,1,1,0,1,1,1,1,0.89360638,0.663695986,0,0,1,0,0,0,1,0,1,0,0
158,0,0,0,0,0.690140845,1,0,1,1,0,1,0,1,1,0.748751238,0.546585754,0,0,1,0,1,0,0,0,1,0,0
159,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.659840135,0.007600058,1,0,1,0,1,0,0,0,0,0,1
160,0,0,0,0,0.014084507,1,1,0,1,0,0,0,0,1,0.358141868,0.011009969,1,1,0,0,1,0,0,0,0,0,1
161,0,0,1,0,0.23943662,1,1,0,0,0,0,0,0,1,0.545454553,0.148776183,0,0,1,0,1,0,0,0,0,1,0
162,1,1,0,0,0.14084507,1,0,0,1,0,0,1,1,1,0.763736252,0.127316867,1,0,1,0,1,0,0,0,0,1,0
163,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0.679820154,0.731876896,0,1,0,0,0,0,1,1,0,0,0
164,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0.905594361,0.908475631,0,0,1,0,0,0,1,1,0,0,0
165,1,0,1,1,0.563380282,1,0,1,0,0,1,1,1,1,0.560939022,0.366282318,0,1,0,0,0,1,0,0,1,0,0
166,1,1,1,0,0.901408451,1,0,1,1,1,0,0,1,0,0.757742262,0.705944216,0,0,1,0,1,0,0,0,0,1,0
167,1,1,0,0,0.169014085,1,0,0,1,1,0,0,0,1,0.362137849,0.08235226,0,1,0,0,1,0,0,0,0,1,0
168,0,1,0,0,0.042253521,1,0,1,0,0,0,0,0,0,0.567432544,0.029423493,0,0,1,0,1,0,0,0,0,1,0
169,0,0,0,0,0.563380282,1,1,0,0,1,0,0,1,0,0.464035957,0.290472481,0,1,0,0,0,1,0,0,0,0,1
170,0,1,0,0,0.197183099,1,0,0,1,0,0,0,0,1,0.557942065,0.121999717,1,0,1,0,1,0,0,0,0,1,0
171,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.299700288,0.00343303,1,1,0,0,1,0,0,0,0,0,1
172,0,0,0,0,0.577464789,1,1,1,1,1,0,0,1,1,0.803696292,0.494679982,0,0,1,0,0,1,0,0,0,1,0
173,1,0,1,0,0.704225352,1,0,1,1,1,0,1,0,1,0.748751238,0.531795961,0,0,1,0,0,1,0,0,0,1,0
174,1,0,1,1,0.014084507,1,0,0,0,0,0,0,0,0,0.517982026,0.014830226,1,0,1,0,1,0,0,0,0,1,0
175,0,0,0,1,0.436619718,1,1,0,1,1,1,1,1,0,0.650849111,0.302204889,0,1,0,0,0,1,0,0,1,0,0
176,1,0,1,1,0.845070423,1,1,1,1,1,1,1,1,0,0.964535435,0.807894802,0,0,1,0,0,0,1,0,1,0,0
177,0,0,0,0,0.690140845,1,1,1,1,1,1,1,1,0,0.957042928,0.667215732,0,0,1,0,0,1,0,0,1,0,0
178,1,0,1,0,0.014084507,1,0,0,0,0,0,0,0,1,0.260239741,0.007131918,1,1,0,0,1,0,0,0,1,0,0
179,0,1,0,0,0.169014085,1,1,0,1,1,0,1,1,1,0.882617384,0.155520884,1,0,1,0,1,0,0,0,0,1,0
180,0,1,1,0,0.788732394,1,1,0,1,0,0,0,1,1,0.712287686,0.567143488,0,0,1,0,1,0,0,0,0,1,0
181,1,0,1,0,0.61971831,1,1,1,1,1,1,1,1,0,0.946553463,0.579500072,0,0,1,0,0,1,0,0,0,0,1
182,1,0,1,1,0.845070423,1,1,1,1,1,1,1,1,0,0.694805169,0.636659442,0,1,0,0,0,0,1,0,0,0,1
183,1,1,0,0,0.253521127,1,0,1,1,0,1,1,1,1,0.863636351,0.229839619,0,0,1,0,1,0,0,0,0,0,1
184,1,1,0,0,0.211267606,1,0,0,0,0,1,1,1,1,0.758241716,0.172501078,1,0,1,0,1,0,0,0,0,1,0
185,0,0,1,0,0.788732394,1,0,1,1,0,1,0,0,1,0.411588405,0.396624754,0,1,0,0,0,0,1,0,0,1,0
186,0,1,1,0,0.267605634,1,1,0,1,0,1,1,1,0,0.884115902,0.248888895,0,0,1,0,1,0,0,0,0,1,0
187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.519979997,0.005981794,1,0,1,0,1,0,0,0,0,0,1
188,0,0,1,0,0.056338028,1,1,0,1,0,1,0,0,1,0.667832173,0.044184367,1,0,1,0,1,0,0,0,0,1,0
189,1,0,1,0,0.718309859,1,1,0,1,1,0,1,1,1,0.864135882,0.647998855,1,0,1,0,1,0,0,0,0,1,0
190,0,1,1,0,0.281690141,1,0,1,1,0,0,0,1,1,0.463536426,0.152688923,0,1,0,0,1,0,0,1,0,0,0
191,1,0,0,0,0.056338028,1,0,0,1,0,0,0,0,0,0.319680307,0.026111834,0,1,0,0,1,0,0,1,0,0,0
192,1,0,0,0,0.070422535,1,0,1,1,0,0,0,0,0,0.365634375,0.03514521,0,1,0,0,1,0,0,0,0,0,1
193,1,0,0,0,0.126760563,1,0,0,1,0,0,0,0,0,0.326173829,0.055413958,0,1,0,0,1,0,0,0,0,1,0
194,1,0,0,0,0.943661972,1,1,1,0,0,0,0,0,0,0.358641361,0.424089004,0,1,0,0,1,0,0,0,0,0,1
195,0,0,1,1,0.23943662,1,0,0,0,1,0,1,1,0,0.765234769,0.203565953,1,0,1,0,1,0,0,0,0,0,1
196,1,0,0,0,0.295774648,1,1,0,0,0,0,0,0,1,0.573926065,0.20398786,0,0,1,0,0,1,0,0,1,0,0
197,1,0,0,0,0.267605634,1,0,0,0,0,0,0,0,1,0.257742239,0.104990611,0,1,0,0,1,0,0,0,0,1,0
198,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.513986006,0.00591244,1,0,1,0,1,0,0,0,0,1,0
199,0,1,0,0,0.098591549,1,0,0,1,0,0,0,0,1,0.558941051,0.067932378,1,0,1,0,1,0,0,0,0,1,0
200,0,0,0,0,0.126760563,1,0,0,0,0,0,0,0,1,0.262737244,0.048149111,1,1,0,0,1,0,0,0,1,0,0
